pmid,age,Sex,Condition,Eligibility,Samplesize,Intervention Participant,Control Participant,Drug,Surgical,Physical,Educational,Psychological,I_other,Control,Mortality,Adverse_Event,life impact,clinical,O_other,,,,,,,,,,,,,,,,
29776444,18 years or older,mixed,"non-small cell lung cancer (NSCLC), stage I-III, peripheral lung tumours (outer two thirds of the chest on CT) larger than 3 cm on CT","120 randomly selected patients diagnosed or suspected with NSCLC based on pathological proof by bronchoscopic or transthoracic biopsy or imaging studies including CT and FDG-PET. Exclusion criteria: distant metastasis (stage IV disease) or an irresectable primary tumour (judged by thoracic surgeon, based on imaging). The primary tumour must fulfil the following criteria: visibility of the tumour on video bronchoscopy within the main stem bronchi; or tumour proximity to the mediastinum < 0.5 cm on CT; or location of the tumour within the inner 1/3 of the thorax. Whether the tumour fulfils these criteria will be discussed by the local multidisciplinary meetings. Patients should be fit enough to undergo resection of the primary tumour by either pneumonectomy, (bi)lobectomy or segmentectomy, judged during the local multidisciplinary meeting. Additional eligibility criterion: patients should be able to undergo cervical mediastinoscopy (no current tracheostomy or previous mediastinoscopy).",360,171,171,chemotherapy,"mediastinoscopy, anatomic lung resection, lobe-specific lymph node dissection, pneumonectomy, (bi)lobectomy or segmentectomy, mediastinal lymphadenectomy","pneumonectomy, (bi)lobectomy or segmentectomy","Education according to Watson's theory, EBUS and EUS training during pulmonologist training, specific endosonography lung cancer staging training module, EBUSAT evaluating structural EBUS anatomy and standardised mediastinal nodal sampling",,chemotherapy,6.8%,,,,"depressive symptoms, hope, and pain intensity",,,,,,,,,,,,,,,,,
29763431,adult (>18 years old),all,cancer patients,"with all types of cancer and all cancer treatment modalities, receiving palliative care and an expected prognosis of more than 3 months; initially included significant depressive symptoms (HADS A/D > 7/ HADS-T >14), but later removed as inclusion criteria; exclusion criteria included psychotic behaviour, severe cognitive dysfunction, severe impairment in verbal communication or insufficient mastery of the Dutch language.",107,"LRT-MST group ('Dear Memories') - 55 patients, with 39 completing the intervention (38 at home and 1 at the hospital; compliance rate 69%)","CAU group (offered LRT-MST after follow-up assessment) - 52 patients, with 42 completing the study",LRT-MST,,,Dear Memories,HADS,care-as-usual,waiting-list control group,28% (17/55) of patients in intervention group did not complete study due to death,,,,"compliance rate 69%, reasons for non-completion: disease progression and death",,,,,,,,,,,,,,,,
29757876,"60 years (range, 35–79)",majority female,high-grade serous malignancy,"not specified explicitly but includes women with histologically confirmed ovarian, fallopian tube, or primary peritoneal carcinoma who had received at least one prior platinum-containing regimen; Karnofsky Performance Status ? 70%; adequate hematologic, hepatic, and renal function; no history of platinum hypersensitivity reaction (HSR), uncontrolled concurrent illness, life expectancy <12 weeks, pregnancy, lactation, or receipt of another investigational agent",114 patients required for the study,56,58,carboplatin,,,,,"montelukast 10 mg once daily for 3 days prior, dexamethasone 20 mg the night before and day of carboplatin infusion, ranitidine 50 mg IV or famotidine 20 mg IV before carboplatin infusion, diphenhydramine 50 mg IV (25 mg IV if intolerant) or hydroxyzine 25 mg orally",standard institutional practice,progression-free survival,,,primary resistance, treatment response,TP53 mutations, DNA methylation patterns,,,,,,,,,,,,,,
29757459,25-85 years,230 women (71.7%),stage IV solid tumor cancer,"English speaking, at least moderate distress (a Distress Thermometer score of 4 or greater), no significant cognitive impairment or severe psychiatric disturbance",346 participants,"109 patients (IMCP), 108 patients (SP), 104 patients (EUC)",129 patients,neoadjuvant chemotherapy (NAC),surgical treatment,,"list of resources for mental health treatment, targeted referrals specific to problem areas identified on the Distress Thermometer, packet of resources for coping with cancer, signed copy of The Human Side of Cancer","individualized multimedia cancer care plan (IMCP), supportive psychotherapy (SP)",,standard psychotherapy (SP),,,conversion from clinical node-positive (cN+) to pathologic node-negative (ypN-) status after NAC,"rates of mastectomy, positive margins, axillary dissection",,,,,,,,,,,,,,,,,
26206423,50-70 years,female,healthy postmenopausal women at high risk of breast cancer due to dense breast tissue,"women aged 50 – 70 with either ‘heterogeneously dense’ or extremely dense breasts, as specified by Breast Imaging and Reporting Data System criteria; see Table 1 for detailed eligibility and exclusion criteria",937 patients,538,537,green tea extract (GTE),,,,,combined qigong and self-administered acupressure intervention,placebo,,withdrawals due to adverse events,"handgrip strength (dynamometer), physical performance (Short Physical Performance Battery), fall incidence, and health-related quality of life (HRQoL, Functional Assessment of Cancer Therapy-General)",self-reported CIPN severity (Functional Assessment of Cancer Therapy/Gynecologic Oncology Group-Neurotoxicity),,,,,,,,,,,,,,,,,
26203761,,,"non-metastatic carcinoma of oesophagus or gastro-oesophageal junction (adenocarcinoma, squamous cell or undifferentiated carcinoma)",patients with disease unsuitable for surgical therapy or individual patients who elected not to undergo surgery, full discussion at a specialist upper gastrointestinal cancer multi-disciplinary team meeting,"258 patients, 129 in each treatment group",129,129,cetuximab,tissue-retraction devices (TRDs),,,,chemoradiotherapy (CRT),CRT alone,"severe RIOM (RTOG/CTCAE grade ?3) at RT completion, assessed by video endoscopy in a predefined region adjacent/opposite to the clinical target volume","acute and late toxicities, patient-reported outcomes (PROs), dosimetric comparisons of organs at risk, including the tongue and palate",,,,,,,,,,,,,,,,,,
26200977,65 (60-70) years,women,"invasive carcinoma of the breast, ER-negative disease","treated with breast-conserving surgery and sentinel-lymph-node biopsy or axillary-node dissection; positive or negative axillary lymph nodes with high-risk features (primary tumor measuring 5 cm or more, 2 cm or more with fewer than 10 axillary nodes removed, grade 3 histologic categorization, ER negativity, or lymphovascular invasion); level I or II axillary dissection required for patients with positive results on sentinel-node biopsy; all received adjuvant systemic therapy (chemotherapy, endocrine therapy, or both); excluded if T4 tumors, N2-3 nodes, distant metastasis, or serious nonmalignant disease precluding definitive radiation therapy",1832,TITAN: 517, SPARTAN: 770,900,apalutamide,supraclavicular and level III axillary nodes treated with a nondivergent anterior field,,,,"adjuvant systemic therapy with chemotherapy, endocrine therapy; whole-breast irradiation (50 Gy in 25 fractions); nodal irradiation including internal mammary nodes, supraclavicular and axillary lymph nodes using modified wide-tangent technique or separate internal-mammary-node field plus tangents","whole-breast irradiation alone, 50 Gy in 25 fractions",OS,"grade 3 or greater cardiac adverse events, radiation dermatitis, pneumonitis, lymphedema, telangiectasia of the skin, subcutaneous fibrosis",,"isolated locoregional disease-free survival (95.2% vs 92.2%), distant disease-free survival (86.3% vs 82.4%)",,,,,,,,,,,,,,,,
26197776,older than 20 years,Female,"gynecological cancer (ovarian cancer, peritoneal cancer, endometrial cancer, and cervical cancer)",histologically confirmed gynecological cancer patients scheduled to receive a TC regimen with specific performance status and laboratory criteria, excluded those with hypersensitivity to 5-HT3 receptor antagonists or dexamethasone and risk of vomiting for other reasons,38,23,15,"aprepitant, dexamethasone, palonosetron, granisetron",,,,,,granisetron,,,,,,,,,,,,,,,,,,,,
26197768,19-88 years,female,"endometrioid EC stage IBG3, II or III according to FIGO 2009","treated from January 1988 to December 2011 at San Gerardo Hospital, Monza; excluded: clear cell, serous, macroscopic residual disease, synchronous ovarian cancer",N = 254,215 (open surgery),39 (laparoscopic surgery),"adriamycin 60 mg/m2, cisplatin 50 mg/m2","total hysterectomy and bilateral salpingo-oophorectomy, pelvic lymphadenectomy",,,,"chemotherapy (AP or CT), radiotherapy",vandetanib/cabozantinib,5-year survival rates,proportion of time on treatment (PTT) with 'high' side-effect burden, symptomatic adverse events self-administered at baseline and at different intervals post-baseline during treatment period.,health-related quality of life (HRQoL),"DFS (hazard ratio [HR], 0.61 [0.38 to 0.98], p=0.040; OS: HR, 0.58 [0.36 to 0.93], p=0.024)",,,,,,,,,,,,,,,,
29624807,cancer survivors within last 5 years,female patients,"cancer survivors with completed curative treatment and psychosocial complaints including severe cognitive impairment, currently undergoing psychological treatment, and insufficient mastery of Dutch language.",telephonic interview by a trained psychologist,168,MCGP-CS,SGP,ARX788 (anti-HER2 ADC) plus pyrotinib (TKI),,,MCGP-CS,"current psychological treatment, Ryff’s Scale of Psychological Well-being (SPWB), Hospital Anxiety and Depression Scale (HADS), Dutch Beck Hopelessness Scale (BHS), Dutch Life Orientation Test (LOT-R), Mental Adjustment to Cancer (MAC) questionnaire with subscales: Fighting Spirit, Helplessness/Hopelessness, Anxious Preoccupation, Fatalism and Avoidance",insufficient mastery of Dutch language,MCGP-CS and SGP study arms,,grade 3-4 adverse events,,pathological complete response (pCR) rate,,,,,,,,,,,,,,,,,
29624800,"75.5 years (degarelix), 75.9 years (goserelin)",not specified,prostate cancer,"histopathological diagnosis of prostate cancer, judged to be in need of ADT, serum testosterone >2.2 ng/mL, an ECOG performance status ?2, serum PSA ? 52 ng/mL",234 patients (117 per group),degarelix,goserelin,"degarelix (240 mg/40 mg/mL initial dose, maintenance dose 480 mg/60 mg/mL every 84 days) and goserelin (3.6 mg initial dose, maintenance dose 10.8 mg every 84 days)",,,,,,degarelix,,higher grade 3/4 adverse events (75.0% vs. 43.6%),,"objective response rate (51.4% vs. 29.4%); ORR 54.5% vs. 38.8%; mean serum testosterone levels: 4.98 ng/mL (degarelix) vs. 4.94 ng/mL (goserelin); mean serum PSA levels: 66.04 ng/mL (degarelix) vs. 61.08 g/mL (goserelin); cumulative castration rates from day 28 to day 364 in the FAS were 95.1% and 100.0% in the degarelix group and the goserelin group, respectively; proportion of subjects with serum PSA relapse by day 364 were 2.6% in the degarelix group and 0.9% in the goserelin group","improved vascular perfusion, T-cell cytotoxicity, and cytokine secretion; non-inferiority of the 3-month formulation of degarelix to goserelin",,,,,,,,,,,,,,,,
29624641,adult women,female,metastatic breast cancer,"(1) ECOG performance status 0 to 1, (2) primary attending oncologist approval for CPET, (3) <150 mins of moderate-intensity exercise/wk, and (4) clearance of exercise electrocardiogram by cardiologist","162 patients (36 BC patients at DUMC, 126 at MSK)",33,32,,,"aerobic training (36 sessions over 12 weeks, intensity varied between 55%, 65%, 75%, and 80% of maximal MET expenditure), stretching","psychoeducation, sleep education/restriction, mindfulness-based therapies; hygiogenetic and salutogenetic concepts",,stretching,"adult women with metastatic breast cancer undergoing individualized stretching sessions, three times per week, lasting 20-45 minutes each, comprising 12-20 different positions and following a standardized progressive approach for 10-30 seconds per stretch",,non-serious health related event,"attendance, dose modification, and pre-treatment dose modification with all being inferior at DUMC in comparison with MSK",VO2peak,success of CRF therapies,,,,,,,,,,,,,,,,
